publication_citation,publication_authors,publication_year,publication_title,publication_publisher,publication_doi,publication_with_reported_data,locality,country_continent,habitat_description,habitat_type,category,group,macrophyte_identification,dm_gm2,log_dm_gm2,dm_gm2_value,dm_gm2_conversion,dm_gm2_location,tp_stock_gm2,log_tp_stock_gm2,tp_stock_gm2_value,tp_stock_gm2_conversion,tp_stock_gm2_location,tn_stock_gm2,log_tn_stock_gm2,tn_stock_gm2_value,tn_stock_gm2_conversion,tn_stock_gm2_location
"Bergman and Bump, 2015","Bergman, B. G., & Bump, J. K.",2015,Experimental evidence that the ecosystem effects of aquatic herbivory by moose and beaver may be contingent on water body type,Freshwater Biology,https://doi.org/10.1111/fwb.12595,NA,Michigan,United States of America,Isle Royale National Park water body,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,total macrophyte community,372,2.571,mean,none,table 4,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Bernard and Solsky, 1977","Bernard, J. M., & Solsky, B. A.",1977,Nutrient cycling in a Carex lacustris wetland,Candian Journal of Botany,https://doi.org/10.1139/b77-077,"Wetzel, 2010",New York,United States of America,Michgan Hollow,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground emergent-dominated community,1145,3.059,seasonal maximum,none,table 18-8,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Bernard et al., 1988","Bernard, J. M., Solander, D., & Kvet, J.",1988,Production and nutrient dynamics in Carex wetlands,Aquatic Botany,https://doi.org/10.1016/0304-3770(88)90011-3,"Wetzel, 2010",NA,Australia,Mirrool Wetland,wetland,wetland,wetland,aboveground Carex-dominated community,650,2.813,minimum,none,table 18-8,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Bernard et al., 1988","Bernard, J. M., Solander, D., & Kvet, J.",1988,Production and nutrient dynamics in Carex wetlands,Aquatic Botany,https://doi.org/10.1016/0304-3770(88)90011-3,"Wetzel, 2010",NA,Australia,Mirrool Wetland,wetland,wetland,wetland,aboveground Carex-dominated community,1950,3.29,maximum,none,table 18-8,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Bernard, 1974","Bernard, J. M.",1974,Seasonal changes in standing crop and primary production in a sedge wetland and an adjacent dry old field in central Minnesota,Ecology,https://doi.org/10.2307/1935222,"Wetzel, 2010",Minnesota,United States of America,wetland,wetland,wetland,wetland,aboveground Carex-dominated community,850,2.929,seasonal maximum,none,table 18-8,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Berthold et al., 2018","Berthold, M., Karstens, S., Buczko, U., & Schumann, R.",2018,Potential export of soluble reactive phosphorus from a coastal wetland in a cold-temperate lagoon system: Buffer capacities of macrophytes and impact on phytoplankton,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2017.10.244,NA,NA,Germany,Darss-Zingst Bodden Chain Dabitz coastal wetland,non_tidal_coastal_wetland,wetland,wetland,total aboveground Phragmites australis-dominated community,1200,3.079,mean,kg/m2 to g/m2,table 1,0.11,-0.975,mean,mg/m2 to g/m2,table 1,-9999,-9999,NA,NA,NA
"Berthold et al., 2018","Berthold, M., Karstens, S., Buczko, U., & Schumann, R.",2018,Potential export of soluble reactive phosphorus from a coastal wetland in a cold-temperate lagoon system: Buffer capacities of macrophytes and impact on phytoplankton,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2017.10.244,NA,NA,Germany,Darss-Zingst Bodden Chain Dabitz coastal wetland,non_tidal_coastal_wetland,wetland,wetland,total aboveground Phragmites australis-dominated community,1700,3.23,mean,kg/m2 to g/m2,table 1,0.13,-0.886,mean,mg/m2 to g/m2,table 1,-9999,-9999,NA,NA,NA
"Berthold et al., 2018","Berthold, M., Karstens, S., Buczko, U., & Schumann, R.",2018,Potential export of soluble reactive phosphorus from a coastal wetland in a cold-temperate lagoon system: Buffer capacities of macrophytes and impact on phytoplankton,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2017.10.244,NA,NA,Germany,Darss-Zingst Bodden Chain Dabitz coastal wetland,non_tidal_coastal_wetland,wetland,wetland,total aboveground Phragmites australis-dominated community,1800,3.255,mean,kg/m2 to g/m2,table 1,0.2,-0.706,mean,mg/m2 to g/m2,table 1,-9999,-9999,NA,NA,NA
"Berthold et al., 2018","Berthold, M., Karstens, S., Buczko, U., & Schumann, R.",2018,Potential export of soluble reactive phosphorus from a coastal wetland in a cold-temperate lagoon system: Buffer capacities of macrophytes and impact on phytoplankton,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2017.10.244,NA,NA,Germany,Darss-Zingst Bodden Chain Dabitz coastal wetland,non_tidal_coastal_wetland,wetland,wetland,total aboveground Phragmites australis-dominated community,200,2.301,mean,kg/m2 to g/m2,table 1,0.27,-0.572,mean,mg/m2 to g/m2,table 1,-9999,-9999,NA,NA,NA
"Berthold et al., 2018","Berthold, M., Karstens, S., Buczko, U., & Schumann, R.",2018,Potential export of soluble reactive phosphorus from a coastal wetland in a cold-temperate lagoon system: Buffer capacities of macrophytes and impact on phytoplankton,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2017.10.244,NA,NA,Germany,Darss-Zingst Bodden Chain Dabitz coastal wetland,non_tidal_coastal_wetland,wetland,wetland,total aboveground Phragmites australis-dominated community,400,2.602,mean,kg/m2 to g/m2,table 1,0.6,-0.22,mean,mg/m2 to g/m2,table 1,-9999,-9999,NA,NA,NA
"Berthold et al., 2018","Berthold, M., Karstens, S., Buczko, U., & Schumann, R.",2018,Potential export of soluble reactive phosphorus from a coastal wetland in a cold-temperate lagoon system: Buffer capacities of macrophytes and impact on phytoplankton,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2017.10.244,NA,NA,Germany,Darss-Zingst Bodden Chain Dabitz coastal wetland,non_tidal_coastal_wetland,wetland,wetland,total aboveground Phragmites australis-dominated community,1300,3.114,mean,kg/m2 to g/m2,table 1,0.81,-0.093,mean,mg/m2 to g/m2,table 1,-9999,-9999,NA,NA,NA
"Berthold et al., 2018","Berthold, M., Karstens, S., Buczko, U., & Schumann, R.",2018,Potential export of soluble reactive phosphorus from a coastal wetland in a cold-temperate lagoon system: Buffer capacities of macrophytes and impact on phytoplankton,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2017.10.244,NA,NA,Germany,Darss-Zingst Bodden Chain Dabitz coastal wetland,non_tidal_coastal_wetland,wetland,wetland,total aboveground Phragmites australis-dominated community,500,2.699,mean,kg/m2 to g/m2,table 1,0.93,-0.032,mean,mg/m2 to g/m2,table 1,-9999,-9999,NA,NA,NA
"Berthold et al., 2018","Berthold, M., Karstens, S., Buczko, U., & Schumann, R.",2018,Potential export of soluble reactive phosphorus from a coastal wetland in a cold-temperate lagoon system: Buffer capacities of macrophytes and impact on phytoplankton,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2017.10.244,NA,NA,Germany,Darss-Zingst Bodden Chain Dabitz coastal wetland,non_tidal_coastal_wetland,wetland,wetland,total aboveground Phragmites australis-dominated community,3100,3.491,mean,kg/m2 to g/m2,table 1,0.94,-0.029,mean,mg/m2 to g/m2,table 1,-9999,-9999,NA,NA,NA
"Berthold et al., 2018","Berthold, M., Karstens, S., Buczko, U., & Schumann, R.",2018,Potential export of soluble reactive phosphorus from a coastal wetland in a cold-temperate lagoon system: Buffer capacities of macrophytes and impact on phytoplankton,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2017.10.244,NA,NA,Germany,Darss-Zingst Bodden Chain Dabitz coastal wetland,non_tidal_coastal_wetland,wetland,wetland,total aboveground Phragmites australis-dominated community,2600,3.415,mean,kg/m2 to g/m2,table 1,1.06,0.026,mean,mg/m2 to g/m2,table 1,-9999,-9999,NA,NA,NA
"Berthold et al., 2018","Berthold, M., Karstens, S., Buczko, U., & Schumann, R.",2018,Potential export of soluble reactive phosphorus from a coastal wetland in a cold-temperate lagoon system: Buffer capacities of macrophytes and impact on phytoplankton,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2017.10.244,NA,NA,Germany,Darss-Zingst Bodden Chain Dabitz coastal wetland,non_tidal_coastal_wetland,wetland,wetland,total aboveground Phragmites australis-dominated community,2600,3.415,mean,kg/m2 to g/m2,table 1,1.12,0.048,mean,mg/m2 to g/m2,table 1,-9999,-9999,NA,NA,NA
"Berthold et al., 2018","Berthold, M., Karstens, S., Buczko, U., & Schumann, R.",2018,Potential export of soluble reactive phosphorus from a coastal wetland in a cold-temperate lagoon system: Buffer capacities of macrophytes and impact on phytoplankton,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2017.10.244,NA,NA,Germany,Darss-Zingst Bodden Chain Dabitz coastal wetland,non_tidal_coastal_wetland,wetland,wetland,total aboveground Phragmites australis-dominated community,3600,3.556,mean,kg/m2 to g/m2,table 1,1.17,0.067,mean,mg/m2 to g/m2,table 1,-9999,-9999,NA,NA,NA
"Berthold et al., 2018","Berthold, M., Karstens, S., Buczko, U., & Schumann, R.",2018,Potential export of soluble reactive phosphorus from a coastal wetland in a cold-temperate lagoon system: Buffer capacities of macrophytes and impact on phytoplankton,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2017.10.244,NA,NA,Germany,Darss-Zingst Bodden Chain Dabitz coastal wetland,non_tidal_coastal_wetland,wetland,wetland,total aboveground Phragmites australis-dominated community,2100,3.322,mean,kg/m2 to g/m2,table 1,1.82,0.26,mean,mg/m2 to g/m2,table 1,-9999,-9999,NA,NA,NA
"Berthold et al., 2018","Berthold, M., Karstens, S., Buczko, U., & Schumann, R.",2018,Potential export of soluble reactive phosphorus from a coastal wetland in a cold-temperate lagoon system: Buffer capacities of macrophytes and impact on phytoplankton,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2017.10.244,NA,NA,Germany,Darss-Zingst Bodden Chain Dabitz coastal wetland,non_tidal_coastal_wetland,wetland,wetland,total aboveground Phragmites australis-dominated community,4200,3.623,mean,kg/m2 to g/m2,table 1,2.57,0.409,mean,mg/m2 to g/m2,table 1,-9999,-9999,NA,NA,NA
"Berthold et al., 2018","Berthold, M., Karstens, S., Buczko, U., & Schumann, R.",2018,Potential export of soluble reactive phosphorus from a coastal wetland in a cold-temperate lagoon system: Buffer capacities of macrophytes and impact on phytoplankton,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2017.10.244,NA,NA,Germany,Darss-Zingst Bodden Chain Dabitz coastal wetland,non_tidal_coastal_wetland,wetland,wetland,total aboveground Phragmites australis-dominated community,2400,3.38,mean,kg/m2 to g/m2,table 1,3.06,0.486,mean,mg/m2 to g/m2,table 1,-9999,-9999,NA,NA,NA
"Berthold et al., 2018","Berthold, M., Karstens, S., Buczko, U., & Schumann, R.",2018,Potential export of soluble reactive phosphorus from a coastal wetland in a cold-temperate lagoon system: Buffer capacities of macrophytes and impact on phytoplankton,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2017.10.244,NA,NA,Germany,Darss-Zingst Bodden Chain Dabitz coastal wetland,non_tidal_coastal_wetland,wetland,wetland,total aboveground Phragmites australis-dominated community,8200,3.914,mean,kg/m2 to g/m2,table 1,5.01,0.699,mean,mg/m2 to g/m2,table 1,-9999,-9999,NA,NA,NA
"Berthold et al., 2018","Berthold, M., Karstens, S., Buczko, U., & Schumann, R.",2018,Potential export of soluble reactive phosphorus from a coastal wetland in a cold-temperate lagoon system: Buffer capacities of macrophytes and impact on phytoplankton,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2017.10.244,NA,NA,Germany,Darss-Zingst Bodden Chain Dabitz coastal wetland,non_tidal_coastal_wetland,wetland,wetland,total aboveground Phragmites australis-dominated community,5500,3.74,mean,kg/m2 to g/m2,table 1,6.31,0.8,mean,mg/m2 to g/m2,table 1,-9999,-9999,NA,NA,NA
"Berthold et al., 2018","Berthold, M., Karstens, S., Buczko, U., & Schumann, R.",2018,Potential export of soluble reactive phosphorus from a coastal wetland in a cold-temperate lagoon system: Buffer capacities of macrophytes and impact on phytoplankton,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2017.10.244,NA,NA,Germany,Darss-Zingst Bodden Chain Dabitz coastal wetland,non_tidal_coastal_wetland,wetland,wetland,total aboveground Phragmites australis-dominated community,8700,3.94,mean,kg/m2 to g/m2,table 1,7.44,0.872,mean,mg/m2 to g/m2,table 1,-9999,-9999,NA,NA,NA
"Berthold et al., 2018","Berthold, M., Karstens, S., Buczko, U., & Schumann, R.",2018,Potential export of soluble reactive phosphorus from a coastal wetland in a cold-temperate lagoon system: Buffer capacities of macrophytes and impact on phytoplankton,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2017.10.244,NA,NA,Germany,Darss-Zingst Bodden Chain Dabitz coastal wetland,non_tidal_coastal_wetland,wetland,wetland,total aboveground Phragmites australis-dominated community,8400,3.924,mean,kg/m2 to g/m2,table 1,8.33,0.92,mean,mg/m2 to g/m2,table 1,-9999,-9999,NA,NA,NA
"Bjork, 1967","Bjork, S.",1967,Ecologic investigations of Phragmites communis: studies in theoretic and applied limnology,Folia limnologica scandinavica,NA,"Wetzel, 2010",NA,Sweden,Southern Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground Phragmites australis-dominated community,2380,3.377,seasonal maximum,none,table 18-8,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Blindow et al., 2006","Blindow, I., Hargeby, A., Meyercordt, J., & Schubert, H.",2006,Primary production in two shallow lakes with contrasting plant form dominance: A paradox of enrichment,Limnology and Oceanography,https://doi.org/10.4319/lo.2006.51.6.2711,NA,NA,Sweden,Lake Krankesjon shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,aboveground Chara tomentosa monoculture,79,1.898,minimum,none,results text,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Blindow et al., 2006","Blindow, I., Hargeby, A., Meyercordt, J., & Schubert, H.",2006,Primary production in two shallow lakes with contrasting plant form dominance: A paradox of enrichment,Limnology and Oceanography,https://doi.org/10.4319/lo.2006.51.6.2711,NA,NA,Sweden,Lake Krankesjon shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,aboveground Chara tomentosa monoculture,375,2.574,maximum,none,results text,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Boeye et al., 1997","Boeye, D., Verhagen, B., Van Haesebroeck, V., & Verheyen, R. F.",1997,Nutrient limitation in species-rich lowland fens,Journal of Vegetation Science,https://doi.org/10.2307/3237333,NA,NA,Belgium,Buitengoor fen,fen,wetland,wetland,aboveground sedge communty,82,1.914,mean,none,table 2,0.04,-1.396,mean,mg/g with g/m2 to calculate g/m2,table 2,1.01,0.004,mean,mg/g with g/m2 to calculate g/m2,table 2
"Boeye et al., 1997","Boeye, D., Verhagen, B., Van Haesebroeck, V., & Verheyen, R. F.",1997,Nutrient limitation in species-rich lowland fens,Journal of Vegetation Science,https://doi.org/10.2307/3237333,NA,NA,Belgium,Goorken fen,fen,wetland,wetland,aboveground reed community,126,2.1,mean,none,table 2,0.08,-1.121,mean,mg/g with g/m2 to calculate g/m2,table 2,1.13,0.055,mean,mg/g with g/m2 to calculate g/m2,table 2
"Boeye et al., 1997","Boeye, D., Verhagen, B., Van Haesebroeck, V., & Verheyen, R. F.",1997,Nutrient limitation in species-rich lowland fens,Journal of Vegetation Science,https://doi.org/10.2307/3237333,NA,NA,Belgium,Buitengoor fen,fen,wetland,wetland,aboveground sedge communty,79,1.898,mean,none,table 2,0.04,-1.395,mean,mg/g with g/m2 to calculate g/m2,table 2,1.17,0.068,mean,mg/g with g/m2 to calculate g/m2,table 2
"Boeye et al., 1997","Boeye, D., Verhagen, B., Van Haesebroeck, V., & Verheyen, R. F.",1997,Nutrient limitation in species-rich lowland fens,Journal of Vegetation Science,https://doi.org/10.2307/3237333,NA,NA,Belgium,Buitengoor fen,fen,wetland,wetland,aboveground sedge communty,84,1.924,mean,none,table 2,0.06,-1.256,mean,mg/g with g/m2 to calculate g/m2,table 2,1.25,0.097,mean,mg/g with g/m2 to calculate g/m2,table 2
"Boeye et al., 1997","Boeye, D., Verhagen, B., Van Haesebroeck, V., & Verheyen, R. F.",1997,Nutrient limitation in species-rich lowland fens,Journal of Vegetation Science,https://doi.org/10.2307/3237333,NA,NA,Belgium,Buitengoor fen,fen,wetland,wetland,aboveground sedge communty,94,1.973,mean,none,table 2,0.05,-1.263,mean,mg/g with g/m2 to calculate g/m2,table 2,1.3,0.113,mean,mg/g with g/m2 to calculate g/m2,table 2
"Boeye et al., 1997","Boeye, D., Verhagen, B., Van Haesebroeck, V., & Verheyen, R. F.",1997,Nutrient limitation in species-rich lowland fens,Journal of Vegetation Science,https://doi.org/10.2307/3237333,NA,NA,Belgium,Goorken fen,fen,wetland,wetland,aboveground moss community,246,2.391,mean,none,table 2,0.29,-0.541,mean,mg/g with g/m2 to calculate g/m2,table 2,4.11,0.614,mean,mg/g with g/m2 to calculate g/m2,table 2
"Boeye et al., 1997","Boeye, D., Verhagen, B., Van Haesebroeck, V., & Verheyen, R. F.",1997,Nutrient limitation in species-rich lowland fens,Journal of Vegetation Science,https://doi.org/10.2307/3237333,NA,NA,Belgium,Goorken fen,fen,wetland,wetland,aboveground sedge communty,480,2.681,mean,none,table 2,0.39,-0.405,mean,mg/g with g/m2 to calculate g/m2,table 2,5.14,0.711,mean,mg/g with g/m2 to calculate g/m2,table 2
"Boeye et al., 1997","Boeye, D., Verhagen, B., Van Haesebroeck, V., & Verheyen, R. F.",1997,Nutrient limitation in species-rich lowland fens,Journal of Vegetation Science,https://doi.org/10.2307/3237333,NA,NA,Belgium,Zwarte Beek fen,fen,wetland,wetland,aboveground sedge communty,476,2.678,mean,none,table 2,0.84,-0.074,mean,mg/g with g/m2 to calculate g/m2,table 2,7.52,0.876,mean,mg/g with g/m2 to calculate g/m2,table 2
"Boeye et al., 1997","Boeye, D., Verhagen, B., Van Haesebroeck, V., & Verheyen, R. F.",1997,Nutrient limitation in species-rich lowland fens,Journal of Vegetation Science,https://doi.org/10.2307/3237333,NA,NA,Belgium,Goorken fen,fen,wetland,wetland,aboveground sedge communty,765,2.884,mean,none,table 2,0.56,-0.253,mean,mg/g with g/m2 to calculate g/m2,table 2,7.96,0.901,mean,mg/g with g/m2 to calculate g/m2,table 2
"Boeye et al., 1997","Boeye, D., Verhagen, B., Van Haesebroeck, V., & Verheyen, R. F.",1997,Nutrient limitation in species-rich lowland fens,Journal of Vegetation Science,https://doi.org/10.2307/3237333,NA,NA,Belgium,Zwarte Beek fen,fen,wetland,wetland,aboveground sedge communty,698,2.844,mean,none,table 2,1.13,0.053,mean,mg/g with g/m2 to calculate g/m2,table 2,8.45,0.927,mean,mg/g with g/m2 to calculate g/m2,table 2
"Boeye et al., 1997","Boeye, D., Verhagen, B., Van Haesebroeck, V., & Verheyen, R. F.",1997,Nutrient limitation in species-rich lowland fens,Journal of Vegetation Science,https://doi.org/10.2307/3237333,NA,NA,Belgium,Goorken fen,fen,wetland,wetland,aboveground macrophyte community,851,2.93,mean,none,table 2,0.75,-0.126,mean,mg/g with g/m2 to calculate g/m2,table 2,10.38,1.016,mean,mg/g with g/m2 to calculate g/m2,table 2
