publication_citation,publication_authors,publication_year,publication_title,publication_publisher,publication_doi,publication_with_reported_data,locality,country_continent,habitat_description,habitat_type,category,group,chla_ugl,log_chla_ugl,chla_ugl_value,chla_ugl_conversion,chla_ugl_location,water_tp_ugl,log_water_tp_ugl,water_tp_ugl_conversion,water_tp_ugl_location
"Lalonde and Downing, 1991","Lalonde, S., & Downing, J. A.",1991,"Epiphyton Biomass is Related to Lake Trophic Status, Depth, and Macrophyte Architecture",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f91-268,NA,Quebec,Canada,Lake Champlain littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,3.5,0.544,mean,none,table 1,23.3,1.367,none,table 1
"Lalonde and Downing, 1991","Lalonde, S., & Downing, J. A.",1991,"Epiphyton Biomass is Related to Lake Trophic Status, Depth, and Macrophyte Architecture",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f91-268,NA,Quebec,Canada,Lake Massawippi littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,15.9,1.201,mean,none,table 1,23.9,1.378,none,table 1
"Lalonde and Downing, 1991","Lalonde, S., & Downing, J. A.",1991,"Epiphyton Biomass is Related to Lake Trophic Status, Depth, and Macrophyte Architecture",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f91-268,NA,Quebec,Canada,Lake Magog eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,19.8,1.297,mean,none,table 1,57.5,1.76,none,table 1
"Lalonde and Downing, 1991","Lalonde, S., & Downing, J. A.",1991,"Epiphyton Biomass is Related to Lake Trophic Status, Depth, and Macrophyte Architecture",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f91-268,NA,Quebec,Canada,Lake Waterloo eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,41.7,1.62,mean,none,table 1,72.9,1.863,none,table 1
"Lan et al., 2018","Lan, B., Li, H., Xiang, X., Lin, J., Yin, J., & Yang, S.",2018,"Spatial-temporal characteristics of epilithic algae succession on artificial substrata in relation to water quality in Erhai Lake, Yunnan Province, China",Biologia,https://doi.org/10.2478/s11756-018-0100-z,NA,Yunnan,China,Erhai Lake eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,19.81,1.297,mean,none,table 1,18,1.255,mg/l to ug/l,table 1
"Lan et al., 2018","Lan, B., Li, H., Xiang, X., Lin, J., Yin, J., & Yang, S.",2018,"Spatial-temporal characteristics of epilithic algae succession on artificial substrata in relation to water quality in Erhai Lake, Yunnan Province, China",Biologia,https://doi.org/10.2478/s11756-018-0100-z,NA,Yunnan,China,Erhai Lake eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,16.59,1.22,mean,none,table 1,20,1.301,mg/l to ug/l,table 1
"Lan et al., 2018","Lan, B., Li, H., Xiang, X., Lin, J., Yin, J., & Yang, S.",2018,"Spatial-temporal characteristics of epilithic algae succession on artificial substrata in relation to water quality in Erhai Lake, Yunnan Province, China",Biologia,https://doi.org/10.2478/s11756-018-0100-z,NA,Yunnan,China,Erhai Lake eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,19.51,1.29,mean,none,table 1,35,1.544,mg/l to ug/l,table 1
"Lan et al., 2018","Lan, B., Li, H., Xiang, X., Lin, J., Yin, J., & Yang, S.",2018,"Spatial-temporal characteristics of epilithic algae succession on artificial substrata in relation to water quality in Erhai Lake, Yunnan Province, China",Biologia,https://doi.org/10.2478/s11756-018-0100-z,NA,Yunnan,China,Erhai Lake eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,35.94,1.556,mean,none,table 1,70,1.845,mg/l to ug/l,table 1
"Liboriussen et al., 2005","Liboriussen, L., Jeppesen, E., Bramm, M. E., & Lassen, M. F.",2005,Periphyton-macroinvertebrate interactions in light and fish manipulated enclosures in a clear and a turbid shallow lake,Aquatic Ecology,https://doi.org/10.1007/s10452-004-3039-9,NA,NA,Denmark,Stigsholm Lake shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,36,1.556,mean,none,table 1,96,1.982,none,table 1
"Liboriussen et al., 2005","Liboriussen, L., Jeppesen, E., Bramm, M. E., & Lassen, M. F.",2005,Periphyton-macroinvertebrate interactions in light and fish manipulated enclosures in a clear and a turbid shallow lake,Aquatic Ecology,https://doi.org/10.1007/s10452-004-3039-9,NA,NA,Denmark,Sobygard Lake shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,112,2.049,mean,none,table 1,275,2.439,none,table 1
"Makarevich, 1985","Makarevich, T. A.",1985,Epiphyton,Minsk,NA,"Hakanson and Boulion, 2004",NA,Russia,Naroch Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,4.3,0.633,mean,none,table 2,20,1.301,none,table 2
"Makarevich, 1985","Makarevich, T. A.",1985,Epiphyton,Minsk,NA,"Hakanson and Boulion, 2004",NA,Russia,Miastro Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,20.9,1.32,mean,none,table 2,32,1.505,none,table 2
"Makarevich, 1985","Makarevich, T. A.",1985,Epiphyton,Minsk,NA,"Hakanson and Boulion, 2004",NA,Russia,Batorino Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,64.7,1.811,mean,none,table 2,68,1.833,none,table 2
"Mao et al., 2023","Mao, Z., Cao, Y., Gu, X., Cai, Y., Chen, H., Zeng, Q., & Jeppesen, E.",2023,Effects of nutrient reduction and habitat heterogeneity on benthic macroinvertebrate assemblages in a large shallow eutrophic lake,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2023.161538,NA,Jiangsu,China,Taihu Lake shallow eutrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,5860,3.768,mean,mg/l to ug/l,table 1,120,2.079,mg/l to ug/l,table 1
"McCusker et al., 2023","McCusker, M., Dove, A., Depew, D., & Howell, E. T.",2023,Factors affecting Cladophora growth in the eastern basin of Lake Erie: Analysis of a monitoring dataset (2012-2019),Journal of Great Lakes Research,https://doi.org/10.1016/j.jglr.2023.05.004,NA,Ontario,Canada,Lake Erie eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,0.77,-0.114,mean,none,table 1,5.18,0.714,none,table 1
"McCusker et al., 2023","McCusker, M., Dove, A., Depew, D., & Howell, E. T.",2023,Factors affecting Cladophora growth in the eastern basin of Lake Erie: Analysis of a monitoring dataset (2012-2019),Journal of Great Lakes Research,https://doi.org/10.1016/j.jglr.2023.05.004,NA,Ontario,Canada,Lake Erie eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,0.31,-0.509,mean,none,table 1,5.93,0.773,none,table 1
"McCusker et al., 2023","McCusker, M., Dove, A., Depew, D., & Howell, E. T.",2023,Factors affecting Cladophora growth in the eastern basin of Lake Erie: Analysis of a monitoring dataset (2012-2019),Journal of Great Lakes Research,https://doi.org/10.1016/j.jglr.2023.05.004,NA,Ontario,Canada,Lake Erie eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,0.61,-0.215,mean,none,table 1,6.93,0.841,none,table 1
"McCusker et al., 2023","McCusker, M., Dove, A., Depew, D., & Howell, E. T.",2023,Factors affecting Cladophora growth in the eastern basin of Lake Erie: Analysis of a monitoring dataset (2012-2019),Journal of Great Lakes Research,https://doi.org/10.1016/j.jglr.2023.05.004,NA,Ontario,Canada,Lake Erie eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,0.82,-0.086,mean,none,table 1,7.33,0.865,none,table 1
"McCusker et al., 2023","McCusker, M., Dove, A., Depew, D., & Howell, E. T.",2023,Factors affecting Cladophora growth in the eastern basin of Lake Erie: Analysis of a monitoring dataset (2012-2019),Journal of Great Lakes Research,https://doi.org/10.1016/j.jglr.2023.05.004,NA,Ontario,Canada,Lake Erie eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,2.85,0.455,mean,none,table 1,9.53,0.979,none,table 1
"McCusker et al., 2023","McCusker, M., Dove, A., Depew, D., & Howell, E. T.",2023,Factors affecting Cladophora growth in the eastern basin of Lake Erie: Analysis of a monitoring dataset (2012-2019),Journal of Great Lakes Research,https://doi.org/10.1016/j.jglr.2023.05.004,NA,Ontario,Canada,Lake Erie eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,3.93,0.594,mean,none,table 1,9.98,0.999,none,table 1
"McCusker et al., 2023","McCusker, M., Dove, A., Depew, D., & Howell, E. T.",2023,Factors affecting Cladophora growth in the eastern basin of Lake Erie: Analysis of a monitoring dataset (2012-2019),Journal of Great Lakes Research,https://doi.org/10.1016/j.jglr.2023.05.004,NA,Ontario,Canada,Lake Erie eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,3.81,0.581,mean,none,table 1,15.75,1.197,none,table 1
"McCusker et al., 2023","McCusker, M., Dove, A., Depew, D., & Howell, E. T.",2023,Factors affecting Cladophora growth in the eastern basin of Lake Erie: Analysis of a monitoring dataset (2012-2019),Journal of Great Lakes Research,https://doi.org/10.1016/j.jglr.2023.05.004,NA,Ontario,Canada,Lake Erie eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,2.87,0.458,mean,none,table 1,16.44,1.216,none,table 1
"McCusker et al., 2023","McCusker, M., Dove, A., Depew, D., & Howell, E. T.",2023,Factors affecting Cladophora growth in the eastern basin of Lake Erie: Analysis of a monitoring dataset (2012-2019),Journal of Great Lakes Research,https://doi.org/10.1016/j.jglr.2023.05.004,NA,Ontario,Canada,Lake Erie eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,2.71,0.433,mean,none,table 1,21.12,1.325,none,table 1
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-132,NA,Alberta,Canada,C30 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,4.74,0.676,mean,none,table 2,22,1.342,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-134,NA,Alberta,Canada,C34 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,6.66,0.823,mean,none,table 2,26,1.415,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-136,NA,Alberta,Canada,C45 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,9.22,0.965,mean,none,table 2,26,1.415,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-131,NA,Alberta,Canada,C11 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,6.79,0.832,mean,none,table 2,31,1.491,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-124,NA,Alberta,Canada,C1 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,9.87,0.994,mean,none,table 2,31,1.491,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-133,NA,Alberta,Canada,C32 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,7.73,0.888,mean,none,table 2,32,1.505,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-130,NA,Alberta,Canada,C9 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,9.42,0.974,mean,none,table 2,32,1.505,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-126,NA,Alberta,Canada,C5 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,12.17,1.085,mean,none,table 2,34,1.531,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-137,NA,Alberta,Canada,C47 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,12.59,1.1,mean,none,table 2,35,1.544,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-150,NA,Alberta,Canada,C14 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,9.03,0.956,mean,none,table 2,36,1.556,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-148,NA,Alberta,Canada,C12 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,11.59,1.064,mean,none,table 2,36,1.556,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-127,NA,Alberta,Canada,C6 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,14.51,1.162,mean,none,table 2,36,1.556,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-125,NA,Alberta,Canada,C2 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,16.58,1.22,mean,none,table 2,38,1.58,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-135,NA,Alberta,Canada,C35W Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,22.72,1.356,mean,none,table 2,38,1.58,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-129,NA,Alberta,Canada,C8 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,4.68,0.67,mean,none,table 2,40,1.602,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-145,NA,Alberta,Canada,C42 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,5.97,0.776,mean,none,table 2,40,1.602,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-149,NA,Alberta,Canada,C13 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,19.74,1.295,mean,none,table 2,46,1.663,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-128,NA,Alberta,Canada,C7 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,24.94,1.397,mean,none,table 2,46,1.663,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-144,NA,Alberta,Canada,C41 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,11.77,1.071,mean,none,table 2,48,1.681,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-147,NA,Alberta,Canada,C46 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,7.26,0.861,mean,none,table 2,54,1.732,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-141,NA,Alberta,Canada,C25 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,24.31,1.386,mean,none,table 2,55,1.74,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-152,NA,Alberta,Canada,C16 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,14.29,1.155,mean,none,table 2,67,1.826,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-140,NA,Alberta,Canada,C24 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,10.67,1.028,mean,none,table 2,78,1.892,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-139,NA,Alberta,Canada,C23 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,5.94,0.774,mean,none,table 2,79,1.898,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-151,NA,Alberta,Canada,C15 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,4.89,0.689,mean,none,table 2,80,1.903,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-143,NA,Alberta,Canada,C27 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,3.89,0.59,mean,none,table 2,98,1.991,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-142,NA,Alberta,Canada,C26 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,5.15,0.712,mean,none,table 2,109,2.037,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-138,NA,Alberta,Canada,C17 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,39.23,1.594,mean,none,table 2,125,2.097,none,table 2
"McEachern et al., 2000","McEachern, P., Prepas, E. E., Gibson, J. J., & Dinsmore, W. P.",2000,"Forest fire induced impacts on phosphorus, nitrogen, and chlorophyll a concentrations in boreal subarctic lakes of northern Alberta",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f00-146,NA,Alberta,Canada,C43 Caribou Mountains Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,20.05,1.302,mean,none,table 2,166,2.22,none,table 2
"McNair and Chow-Fraser, 2003","McNair, S. A., & Chow-Fraser, P.",2003,Change in biomass of benthic and planktonic algae along a disturbance gradient for 24 Great Lakes coastal wetlands,Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/F03-054,NA,Great Lakes,United States of America,Cloud Bay Wetland,non_tidal_coastal_wetland,wetland,wetland,0.09,-1.046,mean,none,table 3,19.8,1.297,none,table A2
"McNair and Chow-Fraser, 2003","McNair, S. A., & Chow-Fraser, P.",2003,Change in biomass of benthic and planktonic algae along a disturbance gradient for 24 Great Lakes coastal wetlands,Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/F03-054,NA,Great Lakes,United States of America,Pentwater Wetland,non_tidal_coastal_wetland,wetland,wetland,2.7,0.431,mean,none,table 3,40.63,1.609,none,table A2
"McNair and Chow-Fraser, 2003","McNair, S. A., & Chow-Fraser, P.",2003,Change in biomass of benthic and planktonic algae along a disturbance gradient for 24 Great Lakes coastal wetlands,Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/F03-054,NA,Great Lakes,United States of America,Turkey Point Wetland,non_tidal_coastal_wetland,wetland,wetland,2.49,0.396,mean,none,table 3,41.73,1.62,none,table A2
"McNair and Chow-Fraser, 2003","McNair, S. A., & Chow-Fraser, P.",2003,Change in biomass of benthic and planktonic algae along a disturbance gradient for 24 Great Lakes coastal wetlands,Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/F03-054,NA,Great Lakes,United States of America,Spanish River Wetland,non_tidal_coastal_wetland,wetland,wetland,4.92,0.692,mean,none,table 3,41.85,1.622,none,table A2
"McNair and Chow-Fraser, 2003","McNair, S. A., & Chow-Fraser, P.",2003,Change in biomass of benthic and planktonic algae along a disturbance gradient for 24 Great Lakes coastal wetlands,Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/F03-054,NA,Great Lakes,United States of America,Peshtigo Wetland,non_tidal_coastal_wetland,wetland,wetland,1.89,0.276,mean,none,table 3,45.84,1.661,none,table A2
"McNair and Chow-Fraser, 2003","McNair, S. A., & Chow-Fraser, P.",2003,Change in biomass of benthic and planktonic algae along a disturbance gradient for 24 Great Lakes coastal wetlands,Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/F03-054,NA,Great Lakes,United States of America,Lost Creek Wetland,non_tidal_coastal_wetland,wetland,wetland,2.25,0.352,mean,none,table 3,49.49,1.695,none,table A2
"McNair and Chow-Fraser, 2003","McNair, S. A., & Chow-Fraser, P.",2003,Change in biomass of benthic and planktonic algae along a disturbance gradient for 24 Great Lakes coastal wetlands,Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/F03-054,NA,Great Lakes,United States of America,Wigwam Bay Wetland,non_tidal_coastal_wetland,wetland,wetland,3.98,0.6,mean,none,table 3,49.49,1.695,none,table A2
"McNair and Chow-Fraser, 2003","McNair, S. A., & Chow-Fraser, P.",2003,Change in biomass of benthic and planktonic algae along a disturbance gradient for 24 Great Lakes coastal wetlands,Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/F03-054,NA,Great Lakes,United States of America,Pine Bay Wetland,non_tidal_coastal_wetland,wetland,wetland,2.46,0.391,mean,none,table 3,56.26,1.75,none,table A2
"McNair and Chow-Fraser, 2003","McNair, S. A., & Chow-Fraser, P.",2003,Change in biomass of benthic and planktonic algae along a disturbance gradient for 24 Great Lakes coastal wetlands,Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/F03-054,NA,Great Lakes,United States of America,Portage Creek Wetland,non_tidal_coastal_wetland,wetland,wetland,3.98,0.6,mean,none,table 3,58.87,1.77,none,table A2
